"ComputerName","OperatingSystem","PasswordLastSet","DaysSincePasswordLastSet","deviceEnabled","deviceFullOUPath","Owner"
"DEVCORE507P","","3/21/2017 6:54:58 PM","3149","True","CN=DEVCORE507P,OU=DE,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"DEVCORE507C","","12/5/2012 1:04:01 AM","4717","True","CN=DEVCORE507C,OU=DE,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"DEVCORE507","","3/24/2017 3:42:47 AM","3147","True","CN=DEVCORE507,OU=DE,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"DEVOBS507W","","8/11/2012 6:35:17 PM","4832","False","CN=DEVOBS507W,OU=DE,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"DRVBDGR712W","Windows Server 2019 Standard","7/5/2025 9:34:07 AM","122","True","CN=DRVBDGR712W,OU=DR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVCASH502W","Windows 10 ???","1/29/2022 10:08:29 PM","1374","False","CN=PRVCASH502W,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVCORE507C","","8/24/2012 11:11:27 PM","4819","True","CN=PRVCORE507C,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVCORE507P","","3/9/2017 12:48:45 AM","3162","True","CN=PRVCORE507P,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVCORE507","","3/9/2017 12:48:45 AM","3162","True","CN=PRVCORE507,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVCORE506C","","3/9/2017 12:48:45 AM","3162","True","CN=PRVCORE506C,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVTECH501W","Windows Server 2016 Standard","5/31/2025 3:10:54 AM","157","True","CN=PRVTECH501W,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVSMTS502W","Windows Server 2019 Standard","3/1/2025 7:16:59 PM","247","True","CN=PRVSMTS502W,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVZABDB501L","","9/2/2016 6:05:32 PM","3349","True","CN=PRVZABDB501L,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVZABAP501L","","9/2/2016 6:19:38 PM","3349","True","CN=PRVZABAP501L,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVWFTS507P","","2/2/2023 10:47:32 AM","1006","True","CN=PRVWFTS507P,OU=CLUSTER,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVWFTS506C","","9/14/2020 5:36:29 PM","1876","True","CN=PRVWFTS506C,OU=CLUSTER,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"PRVWFTS507","","2/2/2023 10:47:32 AM","1006","True","CN=PRVWFTS507,OU=CLUSTER,OU=PR,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"TEVDECM501W","Windows Server 2019 Standard","3/26/2025 3:20:42 PM","222","True","CN=TEVDECM501W,OU=TE,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
"TEVDECM701W","Windows Server 2019 Standard","3/26/2025 3:20:30 PM","222","True","CN=TEVDECM701W,OU=TE,OU=Servers,DC=EWCN,DC=EWBC,DC=NET","SysEng"
